track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date,song_age,stream_group,bpm_group,energy_group,dance_group,song_type,platform_score,hit_score,cross_platform_success,streams_log
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826.0,125,B,Major,80,89,83,31,0,8,4,2023-07-14,0,low,fast,high_energy,high_dance,party_song,1887.0,113105432.4,641,18.76697391125858
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382.0,92,C#,Major,71,61,74,7,0,10,4,2023-03-23,0,low,medium,high_energy,high_dance,party_song,2150.0,106973181.00000001,1580,18.71123085215489
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949.0,138,F,Major,51,32,53,17,0,31,6,2023-06-30,0,low,fast,mid_energy,mid_dance,other,2865.0,112003330.2,1582,18.757181373027652
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548.0,170,A,Major,55,58,72,11,0,11,15,2019-08-23,4,high,fast,high_energy,mid_dance,other,8966.0,640673449.4,8099,20.50117275619475
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425.0,144,A,Minor,65,23,80,14,63,11,6,2023-05-18,0,mid,fast,high_energy,mid_dance,sad_song,3927.0,242589375.90000004,3304,19.530023003369852
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946.0,141,C#,Major,92,66,58,19,0,8,24,2023-06-01,0,mid,fast,mid_energy,high_dance,other,3608.0,146965214.9,2341,19.028848490817857
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418.0,148,F,Minor,67,83,76,48,0,8,3,2023-03-16,0,high,fast,high_energy,mid_dance,other,3870.0,580784403.6,3167,20.403033179851903
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194.0,100,F,Major,67,26,71,37,0,11,4,2023-07-07,0,low,medium,high_energy,mid_dance,sad_song,1108.0,46519578.1,769,17.878525757594193
fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953.0,130,C#,Minor,85,22,62,12,0,28,9,2023-05-15,0,low,fast,mid_energy,high_dance,sad_song,2461.0,76173969.89999999,1204,18.371672373977777
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339.0,170,D,Minor,81,56,48,21,0,8,33,2023-03-17,0,high,fast,mid_energy,high_dance,other,3574.0,442907553.3,3068,20.132014499391627
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,41,205,54,12,251.0,83,F#,Minor,57,56,72,23,0,27,5,2023-04-17,0,high,slow,high_energy,mid_dance,other,3479.0,404537442.00000006,2971,20.041397686306162
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168.0,150,F,Minor,78,52,82,18,0,15,7,2023-07-07,0,low,fast,high_energy,high_dance,party_song,910.0,46604167.7,480,17.880343075685005
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,1021.0,118,Unknown,Major,71,65,68,6,0,3,7,2023-01-12,0,high,medium,mid_energy,high_dance,other,14665.0,1053485805.4000001,13256,20.998512699415993
Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,1281.0,130,D,Minor,51,32,43,83,0,9,3,2023-04-14,0,mid,fast,mid_energy,mid_dance,chill_song,5349.0,310056956.20000005,3790,19.7754089526758
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,0.0,174,F#,Minor,52,66,73,34,0,31,6,2022-03-31,1,high,fast,high_energy,mid_dance,other,25215.0,2010553164.9,24841,21.644818100255623
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187.0,89,G#,Major,64,43,73,5,17,16,4,2022-12-08,1,high,slow,high_energy,mid_dance,other,8891.0,930475741.8000001,8453,20.874349236045482
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0.0,120,B,Minor,78,76,59,43,0,34,3,2023-02-24,0,high,medium,mid_energy,high_dance,other,3406.0,397436850.7,3111,20.023689406983863
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95,24,1173.0,78,Unknown,Major,44,14,9,96,0,10,3,2023-07-13,0,low,slow,low_energy,mid_dance,chill_song,2576.0,24437604.1,1048,17.23477324165318
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,43,100,54,14,187.0,100,B,Major,86,67,66,14,0,12,16,2023-03-31,0,mid,medium,mid_energy,high_dance,other,3048.0,268178052.20000002,2707,19.63030425790445
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29.0,120,G,Major,63,36,73,0,0,36,4,2023-03-24,0,mid,medium,high_energy,mid_dance,other,830.0,290695856.8000001,627,19.710931438582328
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0.0,140,F,Minor,65,87,74,22,0,42,4,2023-06-22,0,low,fast,high_energy,mid_dance,other,546.0,69155909.4,353,18.275017115335665
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248.0,73,119,42,1,150.0,123,F#,Major,69,82,76,6,0,6,3,2023-07-07,0,low,fast,high_energy,mid_dance,other,939.0,41708253.800000004,631,17.769351842256572
